Date,Retail,Institutional,Foreign,Regional,Local
2009-03-08 00:00:00,-5646802.32999992,5646802.33000001,-10859235.25,-7818649.38,18677884.6300001
2009-03-10 00:00:00,18831953.745,-18831953.745,-10271974.77,-13695966.36,23967941.1300001
2009-03-11 00:00:00,23941551.576,-23941551.576,-42104107.944,26418263.808,15685844.136
2009-03-12 00:00:00,12672531.78,-12672531.78,-36116715.573,17741544.492,17741544.492
2009-03-15 00:00:00,7364699.99999988,-7364700.0,-14729400.0,9001300.0,5728100.0
2009-03-16 00:00:00,56617129.2660001,-56617129.2660001,-104688276.756,-8545981.776,113234258.532
2009-03-17 00:00:00,20852240.795,-20852240.795,-8159572.485,-906619.164999999,9972810.81500006
2009-03-18 00:00:00,4324034.86500001,-4324034.86500001,-31709589.01,30268244.055,4324034.86500001
2009-03-19 00:00:00,48214788.5560001,-48214788.556,-78896926.728,3287371.947,74513764.132
2009-03-22 00:00:00,-15712423.464,15712423.464,5892158.79900002,-7856211.732,0.0
2009-03-23 00:00:00,30290690.286,-30290690.2859999,-8975019.34399998,32534445.122,-23559425.778
2009-03-24 00:00:00,23722911.8099999,-23722911.8100001,-27676730.445,-11861455.905,39538186.35
2009-03-25 00:00:00,-36877646.0149999,36877646.015,34770351.957,-5268235.145,-28448469.783
2009-03-26 00:00:00,-37348008.756,37348008.7559999,18071617.14,-39757557.708,21685940.568
2009-03-29 00:00:00,-22800000.0,22800000.0,-32400000.0,-10800000.0,43200000.0
2009-03-30 00:00:00,37034057.6580001,-37034057.658,-34185283.992,-55551086.487,91160757.312
2009-03-31 00:00:00,21387786.8399999,-21387786.84,14258524.56,65351570.9,-80798305.8399999
2009-04-01 00:00:00,2400000.0,-2400000.0,-19200000.0,2400000.00000001,18000000.0
2009-04-02 00:00:00,-73300571.4500001,73300571.4500001,-2766059.30000001,17979385.45,-15213326.1499999
2009-04-05 00:00:00,-94041072.2349999,94041072.235,15388539.093,42745941.925,-58134481.0180001
2009-04-06 00:00:00,-16012124.096,16012124.096,2001515.51199999,-6004546.53600001,4003031.02399993
2009-04-07 00:00:00,73725146.845,-73725146.8449999,-56873684.709,-42128655.34,96895907.2820001
2009-04-08 00:00:00,5971853.56400001,-5971853.56400001,86591876.678,-47774828.512,-38817048.1660001
2009-04-09 00:00:00,20700457.3100001,-20700457.3100001,9554057.22000003,-22292800.18,12738742.96
2009-04-12 00:00:00,-28644926.704,28644926.704,57289853.408,-46548005.894,-8951539.59500003
2009-04-13 00:00:00,-15755915.04,15755915.04,-173315065.44,-18907098.048,193797754.992
2009-04-14 00:00:00,-1970578.40200007,1970578.40200001,-985289.201000005,-49264460.05,51235038.4519999
2009-04-15 00:00:00,13945203.408,-13945203.4080001,-63915515.62,17431504.26,45321911.0759999
2009-04-16 00:00:00,-66508524.7110001,66508524.711,91255882.743,6186839.50799999,-97442722.2509999
2009-04-21 00:00:00,64600000.0,-64599999.9999999,-72200000.0,-43700000.0,115900000.0
2009-04-22 00:00:00,46400000.0,-46400000.0,-6400000.0,-24000000.0,30400000.0
2009-04-23 00:00:00,53685369.8239999,-53685369.8240001,-50330034.21,-13421342.456,63751376.6660001
2009-04-26 00:00:00,-45717923.03,45717923.03,25548251.105,0.0,-25548251.105
2009-04-27 00:00:00,-62059555.2000001,62059555.2,-27926799.84,-13963399.92,41890199.76
2009-04-28 00:00:00,-16106615.5560001,16106615.556,-41608756.853,0.0,40266538.8900001
