BUY,Date,Retail,Institutional,Foreign,Regional,Local
BUY,3/22/2009,565647244.7,1398405688,1178431760,35352952.79,750268220.4
BUY,3/23/2009,815604882.9,306272535.1,181744141.7,98725212.78,841408063.5
BUY,3/24/2009,946280593.3,371658951.7,217460024.9,73804614.52,1027992845
BUY,3/25/2009,688031509.9,365615519.1,128544937.5,60057880.65,866097857.8
BUY,3/26/2009,849366005.6,355408470.4,126501320,57829174.85,1020443981
BUY,3/29/2009,930000000,270000000,67200000,64800000,1068000000
BUY,3/30/2009,1109597343,314789490.1,106829012.5,41307218.16,1277674989
BUY,3/31/2009,686785599.6,501424780.4,120009248.4,125950300.3,942250831.3
BUY,4/1/2009,769200000,430800000,102000000,54000000,1045200000
BUY,4/2/2009,995781348,387248302,132770846.4,102344194.1,1147914610
BUY,4/5/2009,1304606148,405231529.4,135077176.5,155595228.6,1419165272
BUY,4/6/2009,1325003269,676512243.1,262198532.1,130098508.3,1611219987
BUY,4/7/2009,1316520479,789912287.6,164301755.8,94789474.52,1847341537
BUY,4/8/2009,836059499,656903892,465804578,79127059.72,948031753.3
BUY,4/9/2009,875788578.5,716554291.5,219743316.1,92355886.46,1280243667
BUY,4/12/2009,1147587376,642720542.9,139644017.7,64451085.08,1588003124
BUY,4/13/2009,1044617167,530974336.8,53570111.14,58296885.65,1465300099
BUY,4/14/2009,659158475.5,326130725.5,104440655.3,57146773.66,824687061.2
BUY,4/15/2009,744906282,417194002,221961154.2,101102724.7,837874304.8
BUY,4/16/2009,880077920,666631957,273767648.2,92802592.62,1180139636
BUY,4/21/2009,874000000,1026000000,182400000,49400000,1668200000
BUY,4/22/2009,988800000,611200000,140800000,83200000,1376000000
BUY,4/23/2009,1194499479,483168328.4,219774482.7,110726075.3,1347167249
BUY,4/26/2009,1055546164,289098630.9,76644753.32,99503714.83,1168496327
BUY,4/27/2009,1098454127,453034753,102398266.1,79125932.88,1369964681
BUY,4/28/2009,947605881.9,394612081.1,93955257.41,73821987.97,1174440718
BUY,4/29/2009,1104375274,274370386.3,106163415.8,107542161.5,1165040083
BUY,4/30/2009,1165084990,328613715.1,152357267.9,76178633.96,1266656502
BUY,5/3/2009,951741361.3,161406429.7,57883685.13,50091650.6,1005172455
BUY,5/4/2009,938600000,361400000,144300000,67600000,1088100000
BUY,5/5/2009,1264553658,346342721.7,194918462,83766611.76,1333822203
BUY,5/6/2009,1094408962,693840975.9,177036743.9,100141996.5,1511071198
BUY,5/7/2009,1330169433,864829631.6,210719910.2,125114946.7,1859164208
BUY,5/10/2009,1316700000,583300000,178600000,131100000,1590300000
BUY,5/11/2009,1526927475,620649845.8,143887680.5,103083711.4,1902753506
BUY,5/12/2009,1330441255,583862709,220144955.9,93800894.24,1600358114
BUY,5/13/2009,1457720350,541896042.5,121976600,107979285.2,1769660508
BUY,5/14/2009,966927624.2,402658245.8,97240596.77,72588051.11,1199757222
BUY,5/17/2009,863616583.6,274218177.4,76234928.99,48926894.72,1012672937
BUY,5/18/2009,1074356628,434571220.2,230865960.7,79973175.94,1198088711
BUY,5/19/2009,1450756119,453123302.2,232273289.4,118040524.1,1553565608
BUY,5/20/2009,949541656.2,293313914.8,121799846,54685645.12,1066370080
BUY,5/21/2009,1096897388,411902320.3,162950368.5,92036782.19,1253812557
BUY,5/24/2009,608107120.9,190982394.1,27169043.51,39155386.24,732765085.3
BUY,5/25/2009,622400000,977600000,46400000,56000000,1496000000
BUY,5/26/2009,749684645.3,248563883.7,78861633.79,66882651.44,852504243.8
BUY,5/27/2009,1030823006,431337286.1,222248364.4,76032335.18,1165341753
BUY,5/28/2009,691791033.1,343824285.9,221621678.3,51780765.95,762212874.8
BUY,5/31/2009,976300000,323700000,240500000,96200000,963300000
BUY,6/1/2009,1336223187,784765998.8,426318826.4,152711221.4,1544080127
BUY,6/2/2009,1505647915,803628028.5,286350217.1,90061761.82,1932863965
BUY,6/3/2009,1464254285,477727525.3,170894399.3,132054763.1,1640974629
BUY,6/4/2009,1373565729,396493200.1,196476541.1,123904125,1451448322
BUY,6/7/2009,1153600000,246400000,85400000,82600000,1232000000
BUY,6/8/2009,926900000,373100000,157300000,55900000,1086800000
BUY,6/9/2009,941400000,859140000,176400000,70200000,1553400000
BUY,6/10/2009,1229772989,865240620.9,410622667.6,119415775.8,1564975167
BUY,6/11/2009,1193858358,439326810.2,233545479,112689776.6,1288583098
BUY,6/14/2009,1114500000,385500000,99000000,97500000,1303500000
BUY,6/15/2009,1289985348,859990232,238647289.4,124698583.6,1786629707
BUY,6/16/2009,1284878836,613021955.8,132853055.4,138546757.8,1626500979
BUY,6/17/2009,1273567286,551027679.7,242671130.5,93054343.27,1488869492
BUY,6/18/2009,1665726173,346020412.8,187092432.5,58340650.99,1766313503
BUY,6/21/2009,882728779.5,150911477.5,33076488.22,26874646.68,974722762.4
BUY,6/22/2009,950439739.9,532305564.1,303962787.3,123067860.2,1055714656
BUY,6/23/2009,860618250.6,580953358.4,203261596.9,90819011.37,1147491001
BUY,6/24/2009,686388859.8,541498188.2,112965608.4,63850126.5,1086680037
BUY,6/25/2009,614036255,432022101,169461453.7,43934450.95,833708509.7
BUY,6/28/2009,506632034.8,254076726.2,47924651.94,43360399.38,669423709.7
BUY,6/29/2009,561921293.7,21914930455,89907407,67430555.25,22319513787
BUY,6/30/2009,672573181.5,845650704.5,466094733,71356522.64,980772630.4
BUY,7/2/2009,774765469.9,575000157.1,427875703.8,59389687.59,862500235.7
BUY,7/5/2009,621396973.5,207132324.5,48883228.58,37283818.41,742362251
BUY,7/6/2009,543475838.7,246459973.3,138238767.1,29227625.04,622469419.9
BUY,7/7/2009,557205860.4,244529190.6,98613411.27,20043376.28,683078263.5
BUY,7/8/2009,660042980,227111563,126863099.6,44357727.15,716820870.7
BUY,7/9/2009,575880960.2,311454879.8,160607787,38155441.12,688572611.8
BUY,7/12/2009,449100197.5,203661717.5,56137524.69,41124000.65,556153151.6
BUY,7/13/2009,492800000,207200000,111300000,39900000,548800000
BUY,7/14/2009,516453802.3,266051958.7,164326209.8,54775403.27,563404147.9
BUY,7/15/2009,521709021.5,332151897.5,252742832,43546906.87,557571180.1
BUY,7/16/2009,1027117854,651179293,229926709.1,90628045.94,1357742392
BUY,7/19/2009,645510850.3,254783222.7,56718526.6,36011762.92,807563783.5
BUY,7/20/2009,777989326.9,480893079.1,152324771.1,70497414.74,1036060220
BUY,7/21/2009,817781584.3,462001802.7,133097472.2,62709385.96,1083976529
BUY,7/26/2009,963200000,636800000,94400000,65600000,1440000000
BUY,7/27/2009,842612914.3,842612914.3,373079152.1,70976033.82,1375843117
BUY,7/28/2009,845600000,554400000,127400000,46200000,1226400000
BUY,7/29/2009,715658800,268741200,67923600,41344800,875131600
BUY,7/30/2009,1006220153,551396182.9,70092735.12,76323200.46,1412758017
BUY,8/2/2009,1920333667,1052319069,133769373.1,145659984.1,2696196032
BUY,8/3/2009,1129838602,1001932346,138565111.6,127906256.9,1875958434
BUY,8/4/2009,1174430305,479696885.1,124059539.3,120751284.9,1406008112
BUY,8/5/2009,902474686.7,550785678.3,187470587.1,84289101.17,1182953937
